name,grams,kcal
"Geitmelk, langtidsholdbar",100,61
"Helmelk, 3,5 % fett, laktosefri",100,57
"Helmelk, 3,5 % fett, Tine",100,63
"Helmelk, 3,9 % fett, Q-meieriene",100,67
"Helmelk, 4,1 % fett, økologisk",100,68
"Helmelk, uspesifisert",100,64
"Kaffemelk, 3,5 % fett",100,62
"Kakao, med lettmelk, tilberedt",100,87
"Lettmelk, 0,5 % fett, vitamin D, laktosefri",100,31
"Lettmelk, 0,5 % fett, vitamin D, Q-meieriene",100,37
"Lettmelk, 0,5-0,7 % fett, vitamin D, uspesifisert",100,38
"Lettmelk, 0,7 % fett, vitamin D, Tine",100,38
"Lettmelk, 0,7 % fett, økologisk",100,39
"Lettmelk, 1,0 % fett, laktosefri",100,35
"Lettmelk, 1,0 % fett, laktoseredusert",100,41
"Lettmelk, 1,0 % fett, Q-meieriene",100,41
"Lettmelk, 1,0 % fett, Tine",100,41
"Lettmelk, 1,2 % fett, langtidsholdbar",100,43
"Lettmelk, 1,2 % fett, økologisk",100,43
"Lettmelk, 1-1,2 % fett, uspesifisert",100,43
"Lettmelk, kakao, vitamin D, skolemelk",100,43
"Lettmelk, uspesifisert",100,41
"Melk, uspesifisert",100,45
"Milkshake, jordbærsmak",100,71
"Milkshake, sjokoladesmak",100,79
"Sjokolademelk, av pulver og lettmelk",100,70
"Sjokolademelk, laktosefri, uten tilsatt sukker, Litago Uten",100,47
"Sjokolademelk, laktoseredusert, Litago",100,47
"Sjokolademelk, Sjokomelk",100,59
"Sjokolademelk, Styrk Kakao",100,46
"Skummet melk, Styrk",100,40
"Skummet melk, Tine",100,33
"Syrnet melk, blåbær, laktosefri, Biola",100,51
"Syrnet melk, blåbær, mager, Biola",100,50
"Syrnet melk, blåbær/bringebær, BioQ",100,56
"Syrnet melk, bringebær, Biola",100,51
"Syrnet melk, jordbær, Biola",100,52
"Syrnet melk, Kulturmjølk",100,56
"Syrnet melk, naturell, Biola",100,41
"Syrnet melk, naturell, økologisk, Cultura",100,42
"Syrnet melk, rødbete/eple/lime, Biola",100,46
"Syrnet melk, Skumma Kulturmjølk",100,33
"Syrnet melk, økologisk, Kefir",100,56
,,
Yoghurt,,
"Skyr, med smak, kunstig søtet",100,58
"Skyr, naturell",100,74
"Yoghurt, Biola Mild",100,71
"Yoghurt, frukt, 0,1 % fett, lett, Yoplait",100,52
"Yoghurt, Gresk Sitron",100,80
"Yoghurt, jordbær",100,82
"Yoghurt, med müsli og skogsbær,  Go` Morgen",100,126
"Yoghurt, naturell",100,70
"Yoghurt, naturell, laktosefri",100,68
"Yoghurt, naturell, økologisk",100,70
"Yoghurt, vanilje, laktosefri",100,80
,,
"Fløte, rømme, fløteerstatning",,
"Crème Fraîche, 35 % fett",100,335
Dessert-topping på boks,100,260
"Husholdningshvitt, flytende",100,89
"Kaffefløte, 10 % fett",100,119
Kaffehvitt,100,107
"Kaffehvitt, pulver, Coffeemate",100,548
"Krem, pisket, på boks",100,326
